Date,Equity
2024-08-12T14:45:00Z,5816.89
2024-08-12T18:32:00Z,5809.06
2024-08-12T18:36:00Z,5774.22
2024-08-12T18:46:00Z,5788.77
2024-08-12T19:19:00Z,5780.63
2024-08-12T19:26:00Z,5772.55
2024-08-13T00:51:00Z,5787.35
2024-08-13T00:53:00Z,5801.58
2024-08-13T00:55:00Z,5712.86
2024-08-13T02:15:00Z,5704.54
2024-08-13T02:17:00Z,5695.86
2024-08-13T02:19:00Z,5710.27
2024-08-13T03:46:00Z,5724.92
2024-08-13T09:18:00Z,5716.70
2024-08-13T10:23:00Z,5731.18
2024-08-13T10:25:00Z,5642.01
2024-08-13T10:27:00Z,5655.92
2024-08-13T12:30:00Z,5647.79
2024-08-13T12:33:00Z,5638.75
2024-08-13T12:57:00Z,5652.93
2024-08-13T13:46:00Z,5667.31
2024-08-13T13:50:00Z,5681.36
2024-08-13T14:14:00Z,5695.83
2024-08-13T14:16:00Z,5710.03
2024-08-13T14:18:00Z,5724.26
2024-08-13T14:31:00Z,5639.15
2024-08-13T14:49:00Z,5630.97
2024-08-13T14:54:00Z,5622.80
2024-08-13T14:56:00Z,5614.64
2024-08-13T15:17:00Z,5605.81
2024-08-13T15:34:00Z,5597.22
2024-08-13T16:12:00Z,5611.30
2024-08-13T16:40:00Z,5625.88
2024-08-14T12:29:00Z,5640.57
2024-08-14T12:32:00Z,5559.50
2024-08-14T12:43:00Z,5550.56
2024-08-14T13:13:00Z,5542.72
2024-08-14T13:15:00Z,5534.16
2024-08-14T13:34:00Z,5548.37
2024-08-14T13:41:00Z,5562.54
2024-08-14T13:43:00Z,5485.69
2024-08-14T13:45:00Z,5409.60
2024-08-14T13:47:00Z,5334.28
2024-08-14T13:49:00Z,5259.71
2024-08-14T13:51:00Z,5185.88
2024-08-14T13:53:00Z,5112.79
2024-08-14T13:55:00Z,5040.44
2024-08-14T13:57:00Z,4968.80
2024-08-14T13:59:00Z,4897.88
2024-08-14T14:01:00Z,4827.68
2024-08-14T14:03:00Z,4758.17
2024-08-14T14:05:00Z,4689.36
2024-08-14T14:07:00Z,4621.23
2024-08-14T14:11:00Z,4614.58
2024-08-14T16:45:00Z,4607.93
2024-08-14T16:48:00Z,4620.06
2024-08-14T16:50:00Z,4611.50
2024-08-14T16:55:00Z,4604.37
2024-08-14T22:03:00Z,4597.42
2024-08-15T01:58:00Z,4610.10
2024-08-15T02:00:00Z,4536.31
2024-08-15T02:02:00Z,4463.26
2024-08-15T16:04:00Z,4475.81
2024-08-15T17:07:00Z,4468.55
2024-08-15T17:57:00Z,4480.80
2024-08-15T17:59:00Z,4414.51
2024-08-15T18:01:00Z,4348.87
2024-08-15T19:10:00Z,4361.22
2024-08-15T19:12:00Z,4291.17
2024-08-15T19:14:00Z,4302.95
2024-08-16T11:07:00Z,4276.75
2024-08-16T11:09:00Z,4288.43
2024-08-16T11:11:00Z,4217.33
2024-08-16T18:35:00Z,4229.47
2024-08-16T19:16:00Z,4241.39
2024-08-16T19:23:00Z,4253.07
2024-08-16T19:27:00Z,4264.79
2024-08-16T19:29:00Z,4276.53
2024-08-16T19:31:00Z,4288.29
2024-08-16T19:39:00Z,4300.08
2024-08-16T20:09:00Z,4292.10
2024-08-16T21:12:00Z,4304.18
2024-08-16T23:10:00Z,4316.20
2024-08-17T00:53:00Z,4309.13
